price,url,title,Anyag,Nyaklánc kapocs,Motívum,Célcsoport,Ékszer súlya,Tisztaság,Arany színe,Hossz,Szélesség,Magasság,Kő
56510,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-p144023.html,"Nyaklánc szívvel iGold, nőknek (IZ19400M) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.65 gramm,"0,585",Sárga arany,Válassza ki a méretet,12 mm,12,Cirkon
60830,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-az-elet-faja-p155929.html,"Arany nyaklánc Az élet fája, nőknek (IZ19888BNH) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,1.68 gramm,"0,585",Sárga arany,Válassza ki a méretet,13 mm,m 18 mm,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-m-betuvel-p156192.html,"Arany nyaklánc M betűvel, nőknek (IZ24447M) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.53 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
54620,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-p155936.html,"Arany nyaklánc kereszttel, nőknek (IZ22978BNH) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.56 gramm,"0,585",Sárga arany,Válassza ki a méretet,,10 mm,
66630,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-eletfa-golyocskakkal-p155442.html,"Arany nyaklánc Életfa golyócskákkal, nőknek (IZ24221NH) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,2.03 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 mm,10 mm,
44270,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-sziv-medallal-p132598.html,"Arany nyaklánc szívvel, nőknek (IZ15123) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.27 gramm,"0,585",Sárga arany,Válassza ki a méretet,"7,5 mm",10 mm,
36170,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-d-betuvel-p153939.html,"Arany nyaklánc D betűvel, nőknek (IZ23448D) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,1.02 gramm,"0,585",Sárga arany,,10 mm,11 mm,
45620,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-negylevelu-loherevel-p152193.html,"Arany nyaklánc négylevelű lóherével, nőknek (IZ22500) | aEkszerek.hu",Arany 14K,,Négylevelű lóherék,Női,1.28 gramm,"0,585",Sárga arany,Válassza ki a méretet,9 mm,,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-a-betuvel-p156188.html,"Arany nyaklánc A betűvel, nőknek (IZ24447A) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.50 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
60920,https://www.aekszerek.hu//arany/gyemant/nyaklancok/feherarany-nyaklanc-gyemantokkal-0-010-ct-sziv-2-p153788.html,"Fehérarany nyaklánc gyémántokkal 0,010 ct Szív 2, nőknek (IZBR539AHR) | aEkszerek.hu",Arany 9K,rugós kapocs,Szívecskék,Női,1.06 gramm,"0,375",Fehér arany,Válassza ki a méretet,"9,5 mm",8 mm,"Brilliáns, Gyémánt"
71390,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-sziv-medallal-p131040.html,"Arany nyaklánc szív medállal, nőknek (IZ14515) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,2.15 gramm,"0,585",Sárga arany,Válassza ki a méretet,7 mm,6 mm,
104890,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-termeszetes-gyongyszemmel-8-mm-p152289.html,"Arany nyaklánc természetes gyöngyszemmel 8 mm, nőknek (IZ21626) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,2.77 gramm,"0,585",Sárga arany,Válassza ki a méretet,11 mm,"17,5 mm",Gyöngy
42290,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-heratis-p155110.html,"Arany nyaklánc kereszttel, nőknek (IZ24065) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,,1.18 gramm,"0,585",Sárga arany,Válassza ki a méretet,8 mm,"14,5 mm",
35540,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-e-betuvel-p153940.html,"Arany nyaklánc E betűvel, nőknek (IZ23448E) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,1.00 gramm,"0,585",Sárga arany,,"8,5 mm",11 mm,
53360,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-granat-kovel-p152354.html,"Arany nyaklánc gránát kővel, nőknek (IZ19572RNH) | aEkszerek.hu",Arany 14K,,,Női,1.55 gramm,"0,585",Sárga arany,Válassza ki a méretet,"5,8 mm","7,6 mm",Cirkon
92810,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-golyocskakkal-izabela-p155931.html,"Arany nyaklánc golyócskákkal Izabela, nőknek (IZ21716B) | aEkszerek.hu",Arany 14K,karabíner,Gyolyócskák,Női,2.81 gramm,"0,585",Sárga arany,Válassza ki a méretet,,,
46430,https://www.aekszerek.hu//arany/nyaklancok/noi/rose-arany-nyaklanc-szivvel-rosie-p156119.html,"Rosé nyaklánc szívvel Rosie, nőknek (IZ14515RHR) | aEkszerek.hu",Arany 9K,rugós kapocs,Szívecskék,Női,1.97 gramm,"0,375",Rózsaszín arany,,7 mm,6 mm,
62470,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kerek-merleglemezekkel-p154571.html,"Arany nyaklánc kerek mérleglemezekkel, nőknek (IZ14138Y) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.93 gramm,"0,585",Sárga arany,Válassza ki a méretet,6 mm,,
53000,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-kereszttel-p121875.html,"Arany nyaklánc kereszttel, nőknek (IZ11217) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.39 gramm,"0,585",Sárga arany,Válassza ki a méretet,,15 mm,
59320,https://www.aekszerek.hu//arany/nyaklancok/noi/noi-arany-nyaklanc-angyal-p155957.html,"Női arany nyaklánc Angyal, nőknek (IZ19797B) | aEkszerek.hu",Arany 14K,rugós kapocs,Angyalok,Női,1.79 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 mm,15 mm,
60380,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-gyongyokkel-es-cirkonium-spiritualitassal-p109577.html,"Arany nyaklánc gyöngyökkel és cirkónium spiritualitással, nőknek (IZ7806) | aEkszerek.hu",Arany 14K,rugós kapocs,Kövecskével,Női,1.76 gramm,"0,585",Sárga arany,Válassza ki a méretet,,,Cirkon
30410,https://www.aekszerek.hu//arany/nyaklancok/noi/vip-arany-nyaklanc-tree-of-life-p132637.html,"V.I.P. arany nyaklánc életfa, nőknek (IZ15059) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,0.84 gramm,"0,585",Sárga arany,,,,
35180,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-b-betuvel-p153938.html,"Arany nyaklánc B betűvel, nőknek (IZ23448B) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.96 gramm,"0,585",Sárga arany,Válassza ki a méretet,"8,5 mm",11 mm,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-v-betuvel-p156196.html,"Arany nyaklánc V betűvel, nőknek (IZ24447V) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.56 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
65100,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-anya-gyermekevel-p145086.html," nyaklánc Anya gyermekével, nőknek (IZ20074) | aEkszerek.hu",Arany 14K,rugós kapocs,Kislány,Női,2.08 gramm,"0,585",Kombinált arany,,13 mm,20 mm,Cirkon
60110,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-es-nyaklanc-gyongy-kaira-p125321.html,"Arany nyaklánc 7.5 mm-es Kaira gyönggyel, nőknek (IZ12165) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.63 gramm,"0,585",Sárga arany,Válassza ki a méretet,,,Gyöngy
37070,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-p150950.html,"Arany nyaklánc kereszttel, nőknek (IZ21745) | aEkszerek.hu",Arany 14K,,Keresztek,Női,1.10 gramm,"0,585",Sárga arany,Válassza ki a méretet,6 mm,12 mm,
61460,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-lanc-sziv-alaku-medallal-p155963.html,"Arany lánc szív alakú medállal, nőknek (IZ24379) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,,1.75 gramm,"0,585",Sárga arany,Válassza ki a méretet,8 mm,10 mm,
68840,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-golyocskakkal-karmen-p155933.html,"Arany nyaklánc golyócskákkal Karmen, nőknek (IZ21730BNH) | aEkszerek.hu",Arany 14K,karabíner,Gyolyócskák,Női,1.96 gramm,"0,585",Sárga arany,,,,
54620,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-rudacska-p154628.html,"Arany nyaklánc Rudacska, nőknek (IZ23200NH) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.59 gramm,"0,585",Sárga arany,Válassza ki a méretet,1 mm,30 mm,
39950,https://www.aekszerek.hu//arany/nyaklancok/medallal/celebrity-arany-nyaklanc-angyalka-p136988.html,"Celebrity arany nyaklánc Angyalka, nőknek (IZ16500) | aEkszerek.hu",Arany 14K,rugós kapocs,Angyalok,Női,1.11 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 mm,,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-k-betuvel-p156191.html,"Arany nyaklánc K betűvel, nőknek (IZ24447K) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.56 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
45260,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszt-kereszthitu-p135612.html,"Arany nyaklánc kereszt Faith, nőknek (IZ15997N) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.24 gramm,"0,585",Sárga arany,Válassza ki a méretet,"4,5 mm","7,2 mm",
50930,https://www.aekszerek.hu//arany/nyaklancok/medallal/gyongy-nyaklanc-feherarany-cairo-7-5-mm-p125322.html,"Gyöngy nyaklánc fehérarany Cairo 7,5 mm, nőknek (IZ12165A) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.54 gramm,"0,585",Fehér arany,Válassza ki a méretet,,,Gyöngy
59320,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-negylevelu-lohere-p156089.html,"Arany nyaklánc Négylevelű lóhere, nőknek (IZ24402N) | aEkszerek.hu",Arany 14K,rugós kapocs,Négylevelű lóherék,Női,1.75 gramm,"0,585",Sárga arany,Válassza ki a méretet,,10 mm,
42390,https://www.aekszerek.hu//arany/nyaklancok/noi/rose-arany-nyaklanc-kereszt-p154258.html,"Rosé arany nyaklánc Kereszt, nőknek (IZ23447R) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.07 gramm,"0,585",Rózsaszín arany,Válassza ki a méretet,16 mm,6 mm ,
77510,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-napocska-p154492.html,"Arany nyaklánc Napocska, nőknek (IZ23866) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,2.32 gramm,"0,585",Sárga arany,Válassza ki a méretet,6.5 mm,6.5 mm,
239010,https://www.aekszerek.hu//arany/nyaklancok/noi/haromsoros-arany-nyaklanc-p154630.html,"Háromsoros arany nyaklánc, nőknek (IZ23441) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,8.04 gramm,"0,585",Sárga arany,Válassza ki a méretet,,1.5 mm,
53900,https://www.aekszerek.hu//arany/nyaklancok/noi/noi-arany-nyaklanc-rudacska-p155966.html,"Női arany nyaklánc Rudacska, nőknek (IZ24387) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.52 gramm,"0,585",Sárga arany,Válassza ki a méretet,2 mm,30 mm,
39230,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-szivvel-p144189.html," nyaklánc szívvel, nőknek (IZ19545) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.17 gramm,"0,585",Sárga arany,Válassza ki a méretet,8 mm,9 mm,
65440,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kutya-labnyom-es-sziv-p151129.html,"Arany nyaklánc Kutya lábnyom és szív, nőknek (IZ21898) | aEkszerek.hu",Arany 14K,,Szívecskék,Női,1.69 gramm,"0,585",Sárga arany,Válassza ki a méretet,,7 mm,
62040,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-lanc-sziv-alaku-medallal-p154853.html,"Arany lánc szív alakú medállal, nőknek (IZ23609) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.88 gramm,"0,585",Sárga arany,Válassza ki a méretet,8 mm,8 mm,Cirkon
59570,https://www.aekszerek.hu//arany/nyaklancok/noi/noi-arany-nyaklanc-szivekkel-p156103.html,"Női arany nyaklánc szívekkel, nőknek (IZ19328N) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.69 gramm,"0,585",Sárga arany,Válassza ki a méretet,15 mm,10 mm,
76070,https://www.aekszerek.hu//arany/nyaklancok/noi/trendi-arany-nyaklanc-cirkoniakkal-zanemi-2-p135823.html,"Trendi arany nyaklánc cirkóniákkal Zanemi 2, nőknek (IZ9223Z) | aEkszerek.hu",Arany 14K,rugós kapocs,Kövecskével,Női,2.46 gramm,"0,585",Sárga arany,,,,Cirkon
48320,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-tanyerral-a-balance-gravirozasahoz-p148210.html,"Arany nyaklánc tányérral a Balance gravírozásához, nőknek (IZ20870) | aEkszerek.hu",Arany 14K,rugós kapocs,Kör,Női,1.43 gramm,"0,585",Sárga arany,Válassza ki a méretet,,,
36390,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-p143562.html," nyaklánc szárnnyal, nőknek (IZ18334) | aEkszerek.hu",Arany 14K,rugós kapocs,Szárnyak,Női,0.96 gramm,"0,585",Sárga arany,Válassza ki a méretet,11 mm,4 mm,Vörösvasérc
69100,https://www.aekszerek.hu//arany/nyaklancok/noi/rose-arany-nyaklanc-szivvel-rosie-p156099.html,"Rosé arany nyaklánc szívvel Rosie, nőknek (IZ14515R) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,2.17 gramm,"0,585",,Válassza ki a méretet,7 mm,6 mm,
62720,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-cirkoniakkal-diszitett-szivvel-p137095.html,"Arany nyaklánc cirkóniákkal díszített szívvel, nőknek (IZ16577) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.99 gramm,"0,585",Sárga arany,,"9,5 mm",14 mm,Cirkon
39230,https://www.aekszerek.hu//arany/nyaklancok/noi/faith-kereszt-nyaklanc-p143514.html,"Faith kereszt nyaklánc, nőknek (IZ18336) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.17 gramm,"0,585",Sárga arany,Válassza ki a méretet,4 mm, 7 mm,Cirkon
72070,https://www.aekszerek.hu//arany/nyaklancok/medallal/nyaklanc-keszult-feher-arany-sziv-p137186.html,"Fehérarany nyaklánc szívvel, nőknek (IZ14515A) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,,2.21 gramm,"0,585",Fehér arany,Válassza ki a méretet,7 mm,"6,5 mm",
36260,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-cirkoni-spiritualitassal-p125304.html,"Arany nyaklánc cirkóni spiritualitással, nőknek (IZ12175HR) | aEkszerek.hu",Arany 9K,rugós kapocs,Kövecskével,Női,1.34 gramm,"0,375",Sárga arany,,,,Cirkon
34690,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-p143558.html," nyaklánc Végtelen, nőknek (IZ18321) | aEkszerek.hu",Arany 14K,rugós kapocs,Végtelen,Női,0.90 gramm,"0,585",Sárga arany,Válassza ki a méretet,"8,5 mm",4 mm,Vörösvasérc
46430,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-az-elet-faja-p148212.html,"Arany nyaklánc Életfa, nőknek (IZ20872) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,1.37 gramm,"0,585",Sárga arany,Válassza ki a méretet,15 mm,,
49940,https://www.aekszerek.hu//arany/nyaklancok/medallal/nyaklanc-keszult-feher-arany-cirkonia-miliana-3-p125288.html,"Miliana 3 fehér arany nyaklánc cirkonokkal, nőknek (IZ12162AR) | aEkszerek.hu",Arany 14K,rugós kapocs,Kövecskével,Női,1.48 gramm,"0,585",Fehér arany,,,,Cirkon
43010,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-heratis-p155253.html,"Arany nyaklánc kereszttel, nőknek (IZ20336B) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.23 gramm,"0,585",Sárga arany,Válassza ki a méretet,15 mm,,
59570,https://www.aekszerek.hu//arany/nyaklancok/noi/feherarany-nyaklanc-medallal-vegtelen-p154743.html,"Fehérarany nyaklánc medállal Végtelen, nőknek (IZ23435A) | aEkszerek.hu",Arany 14K,rugós kapocs,Végtelen,Női,1.69 gramm,"0,585",Fehér arany,Válassza ki a méretet,12 mm,5.5 mm ,
40760,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-keresztnel-hit-p143475.html,"Arany nyaklánc keresztnel Hit, nőknek (IZ18337) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.18 gramm,"0,585",Sárga arany,Válassza ki a méretet,"20,5 mm","10,5 mm",
55160,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-heratis-p155766.html,"Arany nyaklánc kereszttel, nőknek (IZ24354) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,,1.69 gramm,"0,585",Sárga arany,Válassza ki a méretet,25 mm,15 mm,
66290,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-sziv-es-vegtelen-p143955.html,"Nyaklánc szívvel és végtelen szimbólummal, nőknek (IZ19340) | aEkszerek.hu",Arany 14K,rugós kapocs,Végtelen,Női,1.67 gramm,"0,585",Sárga arany,,20 mm,10 mm,
45350,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-voros-cirkonnal-spiritualitas-p155435.html,"Arany nyaklánc vörös cirkonnal Spiritualitás, nőknek (IZ23437RNH) | aEkszerek.hu",Arany 14K,rugós kapocs,Kövecskével,Női,1.37 gramm,"0,585",Sárga arany,,5 mm,5 mm,Cirkon
64510,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-es-medallal-p157061.html,"Arany nyaklánc kereszttel és medállal, nőknek (IZ24821) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,2.01 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 mm,6 mm,
47330,https://www.aekszerek.hu//arany/nyaklancok/medallal/az-angyal-arany-nyaklanca-szarnyak-p132729.html,"Arany nyaklánc Angyalszárnyak, nőknek (IZ15073) | aEkszerek.hu",Arany 14K,rugós kapocs,Szárnyak,Női,1.39 gramm,"0,585",Sárga arany,,40 mm,8 mm,
112110,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-link-nyaklanc-2-7-mm-p142581.html,"Arany link nyaklánc 3,5 mm, nőknek (IZ18884) | aEkszerek.hu",Arany 14K,karabíner,,Női,3.15 gramm,"0,585",,Válassza ki a méretet,"3,5 mm",,
39770,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-vegtelenig-p150984.html,"Arany nyaklánc Végtelen, nőknek (IZ21744) | aEkszerek.hu",Arany 14K,rugós kapocs,Végtelen,Női,1.15 gramm,"0,585",Sárga arany,Válassza ki a méretet,13 mm,5 mm,
60920,https://www.aekszerek.hu//arany/nyaklancok/gyemant/gyemant-nyaklanc-feher-aranybol-kereszt-0-005-ct-p147606.html,"Fehér aranyból készült gyémánt nyaklánc Kereszt 0,005 ct, nőknek (BSBR122A) | aEkszerek.hu",,rugós kapocs,,Női,1.47 gramm,"0,585",Fehér arany,Válassza ki a méretet,20 mm ,10 mm,"Brilliáns, Gyémánt"
70540,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-karma-p152947.html,"Arany nyaklánc Karma, nőknek (IZ22952) | aEkszerek.hu",Arany 14K,,Kör,Női,2.27 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 - 14 mm,,
115850,https://www.aekszerek.hu//arany/nyaklancok/noi/haromsoros-arany-nyaklanc-szivecskekkel-cameron-p156132.html,"Háromsoros arany nyaklánc szívecskékkel Cameron, nőknek (IZ24362) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,,"0,585",Kombinált arany,Válassza ki a méretet,,,
46790,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kutya-labnyom-es-sziv-p153038.html,"Arany nyaklánc Kutya lábnyom és szív, nőknek (IZ21898HR) | aEkszerek.hu",Arany 9K,rugós kapocs,Szívecskék,Női,1.73 gramm,"0,375",Sárga arany,Válassza ki a méretet,28 mm,"8,5 mm",
66210,https://www.aekszerek.hu//arany/nyaklancok/medallal/feher-arany-nyaklanc-cirkoniakkal-diszitett-szivvel-p137096.html,"Fehérarany nyaklánc cirkóniákkal díszített szívvel, nőknek (IZ16577A) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,2.12 gramm,"0,585",,Válassza ki a méretet,"9,5 mm",14 mm,Cirkon
50660,https://www.aekszerek.hu//arany/nyaklancok/noi/feherarany-nyaklanc-sziv-p155060.html,"Fehérarany nyaklánc Szív, nőknek (IZ23762) | aEkszerek.hu",,rugós kapocs,Szívecskék,Női,1.39 gramm,"0,585",Fehér arany,Válassza ki a méretet,10 mm,8 mm,
37520,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-arany-nyaklanc-sziv-p154957.html," arany nyaklánc Szív, nőknek (IZ24070HR) | aEkszerek.hu",Arany 9K,rugós kapocs,Szívecskék,Női,1.44 gramm,"0,375",Sárga arany,Válassza ki a méretet,17 mm,17 mm,
29890,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-d-betuvel-p156189.html,"Arany nyaklánc D betűvel, nőknek (IZ24447D) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,0.51 gramm,"0,585",Sárga arany,Válassza ki a méretet,4 mm,5 mm,
45440,https://www.aekszerek.hu//arany/nyaklancok/noi/angyal-nyaklanc-celebrity-kollekcio-p145022.html,"Angyal nyaklánc a Celebrity gyűjteményből, nőknek (IZ19797A) | aEkszerek.hu",Arany 14K,rugós kapocs,Angyalok,Női,1.26 gramm,,Fehér arany,Válassza ki a méretet,14 mm,"14,5 mm",
61550,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-gyuruk-hiressegek-p124976.html,"Celebrity arany nyaklánc karikák, nőknek (IZ12044) | aEkszerek.hu",Arany 14K,rugós kapocs,Kerekek,Női,1.84 gramm,"0,585",Sárga arany,Válassza ki a méretet,,,
67230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-karma-izlato-p154756.html,"Arany nyaklánc Karma, nőknek (IZ23368) | aEkszerek.hu",Arany 14K,rugós kapocs,Kör,Női,1.99 gramm,"0,585",Sárga arany,Válassza ki a méretet,15 mm,,
70030,https://www.aekszerek.hu//arany/nyaklancok/noi/feher-arany-nyaklanc-kereszttel-p152263.html,"Fehér arany nyaklánc kereszttel, nőknek (IZ13231AN) | aEkszerek.hu",Arany 14K,,Keresztek,Női,2.25 gramm,"0,585",Fehér arany,Válassza ki a méretet,"11,8 mm",22 mm,
46610,https://www.aekszerek.hu//arany/nyaklancok/noi/egyensulyozo-nyaklanc-p144925.html,"Egyensúlyozó nyaklánc, nőknek (IZ19850NH) | aEkszerek.hu",Arany 14K,rugós kapocs,Kör,Női,,"0,585",Fehér arany,,,,
38390,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-betu-nyaklanc-n-p153942.html,"Arany nyaklánc N betűvel, nőknek (IZ23448N) | aEkszerek.hu",Arany 14K,,betű,Női,0.97 gramm,"0,585",Sárga arany,,11 mm,10 mm,
33590,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-csillag-szines-cirkoniakkal-p156204.html,"Arany nyaklánc csillag színes cirkóniákkal, nőknek (IZ24457HR) | aEkszerek.hu",Arany 9K,rugós kapocs,Csillagok,Női,0.69 gramm,"0,375",Sárga arany,Válassza ki a méretet,10 mm,10 mm,Cirkon
